subject_id,prior_std,motion_coherence,n_trials,mean_prior_kappa_t,median_abs_simulated_error_deg,median_abs_model_map_error_deg,mean_log_probability
1,10.0,0.06,38,20.168556129949526,14.274667677064102,6.0,-4.600319750265353
1,10.0,0.12,24,19.414784379057796,10.94408622226652,4.0,-4.440319257136179
1,10.0,0.24,10,20.271395115529835,24.29795904582744,3.0,-5.217258901705899
1,20.0,0.06,35,31.17981993990597,13.932940043451197,7.0,-4.827926910516726
1,20.0,0.12,17,31.57821568802233,15.688681457620959,5.0,-5.041572746387624
1,20.0,0.24,20,31.28428726789095,13.45441372394778,4.0,-4.621255015330992
1,40.0,0.06,39,6.536543344212741,14.180247696750314,5.0,-4.791790080901723
1,40.0,0.12,24,6.379994584236955,17.012343410858833,4.0,-4.854451408065929
1,40.0,0.24,9,7.617841341327848,7.043757425680553,4.0,-4.030390579941738
1,80.0,0.06,65,6.5042633660336255,21.900522215927936,14.0,-4.745977661208217
1,80.0,0.12,49,6.370299466678564,12.708690622940367,7.0,-4.600497400588094
1,80.0,0.24,30,6.59731475865603,14.893313781382034,5.0,-4.832930511500551
2,10.0,0.06,33,3.1126322679970135,9.126385054497348,0.0,-4.503422557999028
2,10.0,0.12,24,3.105216850682579,13.895370796394573,10.0,-4.704837349607629
2,10.0,0.24,11,3.056405725670285,10.503566086544907,4.0,-3.8212420174021875
2,20.0,0.06,36,15.085294849108456,14.00590069269019,10.0,-4.189162582080538
2,20.0,0.12,35,15.087985026231559,17.564387478991478,10.0,-4.636950257709529
2,20.0,0.24,7,15.084654106081993,16.671349284249203,15.0,-4.140565825546871
2,40.0,0.06,37,0.5726024474798298,17.878135229232328,18.0,-4.2392449875335565
2,40.0,0.12,26,0.6104252410579181,18.66237188370566,20.5,-4.253613564822721
2,40.0,0.24,15,0.5918812378591654,9.352586172843928,3.0,-4.50942775599454
2,80.0,0.06,66,1.1490401674374775,60.913663259559215,55.0,-4.264132116126832
2,80.0,0.12,47,1.1569209621071808,55.53594959917493,64.0,-3.9974520157563505
2,80.0,0.24,23,1.1617365855220079,10.595924774829228,8.0,-4.479795691709482
3,10.0,0.06,35,2.143518800689798,17.97996380872908,9.0,-5.174470922555424
3,10.0,0.12,26,2.0854745063302556,8.902882001331108,2.0,-4.33489143768947
3,10.0,0.24,13,2.11134896754278,12.344314908475496,1.0,-4.551424594327274
3,20.0,0.06,44,1.6715248409494594,26.825263567550266,15.5,-4.937377619177478
3,20.0,0.12,21,1.8097938773861988,12.94221455767692,3.0,-4.673619968934036
3,20.0,0.24,7,1.8045944166753711,20.68196624274958,2.0,-5.782994393907593
3,40.0,0.06,34,1.3790306132145915,20.54463021497932,19.5,-4.581431233532349
3,40.0,0.12,20,1.2805380294967352,9.648786557659847,6.0,-4.688061524961043
3,40.0,0.24,12,1.3512323613832542,15.55612170412374,1.0,-4.317679483421947
3,80.0,0.06,79,1.8012854540210297,46.19524106285513,41.0,-4.859667494024295
3,80.0,0.12,47,1.7739332091986295,16.94898411095309,8.0,-4.534567647083061
3,80.0,0.24,22,1.7858710295880835,13.938397413753208,5.0,-4.292420152712543
