subject_id,n_trials,observed_mean_abs_error,model_mean_abs_error,observed_error_sd,model_error_sd,mean_prior_confidence,mean_p_observed,abs_error_difference_model_minus_observed
1,720,23.207177091916297,25.736931937157976,38.645630443766436,42.624346960177576,11.413987571306919,0.013962833981670015,2.52975484524168
2,720,31.071364547320925,38.327920368184664,48.3251786729141,57.36833404427408,19.83538218588027,0.020965047751249355,7.256555820863738
3,720,20.59049369857256,31.454936722690004,30.497820630205457,49.88568700529777,3.5551726512371045,0.014816915472564347,10.864443024117445
4,720,29.23338492708891,33.3187858427746,44.29536932285326,49.7065227751413,12.58237096769707,0.010849345180239476,4.0854009156856925
5,720,40.77431807944443,40.82140375447732,56.74907877322943,57.51322734921529,0.2112628372131628,0.006117153913697294,0.04708567503289629
6,720,36.9583166083589,39.60044177194171,53.699080768058245,56.61457464770559,13.96889371188781,0.007178886067116758,2.6421251635828114
7,720,25.998119457283256,28.741552681249303,39.86435842624563,43.261914076504794,5.114080675744455,0.011699987486183838,2.743433223966047
8,720,47.375287041636014,46.712794969483035,66.46071725880381,63.617736768280245,25.658729711632482,0.007006994321348194,-0.662492072152979
9,720,30.01245375427553,34.028304318269065,45.109644863636696,52.79908757135367,3.5360470464674663,0.009349131839752164,4.015850563993535
10,720,46.6647938376775,43.420655615973274,65.83734421223932,60.36963733375432,6.981689620041233,0.006059841754663179,-3.244138221704226
11,720,29.129860313761725,32.43522344879638,43.102908273139754,47.380201615979516,18.274602153248143,0.008889992684230746,3.3053631350346535
12,720,39.32988711287375,36.64629512611751,57.675373852577515,55.441330925249275,14.094967346684788,0.008383694717501118,-2.683591986756241
