subject,coherence,prior_std,believed_sd,believed_alpha,n
1,0.06,10,10.35042244332473,0.9452910954027813,856
1,0.06,20,17.835012911089645,0.8963707718038466,838
1,0.06,40,26.14169272355474,0.7978016487938059,802
1,0.06,80,27.091265741760918,0.5343281145245032,1714
1,0.12,10,10.180125697425446,0.9464518902353084,587
1,0.12,20,17.76525212256319,0.900275210656093,600
1,0.12,40,26.83680900332376,0.7934688035342232,597
1,0.12,80,27.115468408372234,0.5341268472458721,1200
1,0.24,10,10.153140757371938,0.9458310504782564,285
1,0.24,20,17.55994309533839,0.8942475027878503,249
1,0.24,40,25.999186445188183,0.8025015187319845,242
1,0.24,80,27.234884214326065,0.5404526943201285,592
2,0.06,10,10.419441501297474,0.9071250999693088,749
2,0.06,20,16.95294982653302,0.8298848402023905,856
2,0.06,40,23.705152474605377,0.6845976695356901,808
2,0.06,80,25.511285076896325,0.5231960829281284,1484
2,0.12,10,10.412431122322818,0.907334437497785,511
2,0.12,20,17.42695027839136,0.8213896873497041,600
2,0.12,40,23.574424546203772,0.6822558691487394,600
2,0.12,80,25.511506567645448,0.5236519444452258,1050
2,0.24,10,10.505434934926754,0.9042261188268386,231
2,0.24,20,17.106296232874403,0.8236034387311052,264
2,0.24,40,23.543449541276836,0.6759906374049821,248
2,0.24,80,25.06852011477489,0.5279857264135025,476
3,0.06,10,10.286790293846225,0.9364860241222112,963
3,0.06,20,17.649965923040018,0.8896874531312945,945
3,0.06,40,25.914386762723638,0.7824075018596359,804
3,0.06,80,26.657928086129232,0.5455602681174098,1919
3,0.12,10,10.2780857910694,0.9359337431405975,660
3,0.12,20,17.683654320111536,0.8904140445887355,675
3,0.12,40,25.962136939155435,0.7757732577184793,598
3,0.12,80,26.355264758318558,0.5450358330731929,1349
3,0.24,10,10.26320594205964,0.9354011899895976,318
3,0.24,20,17.816110142984858,0.8913596435258418,282
3,0.24,40,25.717115918732876,0.7813829825443066,244
3,0.24,80,27.339809298959736,0.5325375268363615,655
4,0.06,10,10.452556169613866,0.9036756873011232,428
4,0.06,20,17.055313684604503,0.8238775444631594,535
4,0.06,40,23.601872245033828,0.677509923616618,505
4,0.06,80,25.480716228215854,0.5251246089062059,911
4,0.12,10,10.437477478005079,0.9062158661488328,292
4,0.12,20,17.22365816706259,0.8215338703796883,375
4,0.12,40,23.679184048547075,0.6828342424210339,375
4,0.12,80,25.1169414294732,0.526009994126053,640
4,0.24,10,10.81424412351531,0.8883351224792401,132
4,0.24,20,16.99219952751477,0.818591468541668,165
4,0.24,40,22.757311901582447,0.681247050310562,155
4,0.24,80,25.6523174529928,0.5265893229596247,288
5,0.06,10,14.2256962185774,0.6186419530615368,535
5,0.06,20,17.958551016000392,0.5882351512359456,517
5,0.06,40,21.147958967355486,0.5515643525386558,600
5,0.06,80,23.320178645280144,0.5033151924122483,1184
5,0.12,10,13.931259583063408,0.6209495294719739,368
5,0.12,20,17.49021214120377,0.5920996070494512,375
