subject,nm_1e4_nll,cmaes_nll,delta_cma_minus_nm,cmaes_seed_spread,nm_aic,cmaes_aic
1,38526.76,38526.75,-0.01,0.0,77071.5,77071.5
2,36254.2,36254.2,0.0,0.0,72526.4,72526.4
3,41728.76,41728.42,-0.34,0.0,83475.5,83474.8
4,23074.87,23074.87,-0.0,0.0,46167.7,46167.7
5,30864.84,30858.6,-6.23,122.87,61747.7,61735.2
6,37569.36,37568.28,-1.08,0.0,75156.7,75154.6
7,27088.81,27088.62,-0.2,0.0,54195.6,54195.2
8,30947.41,30947.4,-0.01,2.11,61912.8,61912.8
9,42232.34,42232.33,-0.02,0.0,84482.7,84482.7
10,30887.2,30887.11,-0.08,0.0,61792.4,61792.2
11,31296.84,31296.82,-0.02,0.0,62611.7,62611.6
12,32580.84,32580.77,-0.08,0.0,65179.7,65179.5
