subject_id,session_id,run_id,n_trials,prior_std_values,n_prior_std_values,coherence_values,n_direction_values,first_trial_index,last_trial_index,first_motion_direction,last_motion_direction
1,1,1,213,10,1,0.06;0.12;0.24,5,1,213,225,225
1,1,2,215,80,1,0.06;0.12;0.24,31,1,215,255,285
1,1,3,215,20,1,0.06;0.12;0.24,11,1,215,225,185
1,1,4,207,40,1,0.06;0.12;0.24,19,1,207,265,245
1,1,5,215,80,1,0.06;0.12;0.24,31,1,215,285,265
1,2,6,213,10,1,0.06;0.12;0.24,5,1,213,225,205
1,2,7,215,20,1,0.06;0.12;0.24,11,1,215,235,255
1,2,8,207,40,1,0.06;0.12;0.24,19,1,207,235,205
1,2,9,215,80,1,0.06;0.12;0.24,31,1,215,255,155
1,2,10,215,80,1,0.06;0.12;0.24,31,1,215,135,105
1,3,11,215,80,1,0.06;0.12;0.24,31,1,215,135,155
1,3,12,213,10,1,0.06;0.12;0.24,5,1,213,215,225
1,3,13,215,20,1,0.06;0.12;0.24,11,1,215,185,175
1,3,14,207,40,1,0.06;0.12;0.24,19,1,207,215,265
1,3,15,215,80,1,0.06;0.12;0.24,31,1,215,245,165
1,4,16,207,40,1,0.06;0.12;0.24,19,1,207,235,235
1,4,17,215,80,1,0.06;0.12;0.24,31,1,215,315,205
1,4,18,213,10,1,0.06;0.12;0.24,5,1,213,215,205
1,4,19,215,20,1,0.06;0.12;0.24,11,1,215,215,245
1,4,20,215,80,1,0.06;0.12;0.24,31,1,215,195,185
1,5,21,215,20,1,0.06;0.12;0.24,11,1,215,255,225
1,5,22,207,40,1,0.06;0.12;0.24,19,1,207,215,175
1,5,23,213,10,1,0.06;0.12;0.24,5,1,213,225,235
1,5,24,215,80,1,0.06;0.12;0.24,31,1,215,105,135
1,5,25,215,80,1,0.06;0.12;0.24,31,1,215,295,205
1,6,26,202,40,1,0.06;0.12;0.24,19,1,202,225,285
1,6,27,226,80,1,0.06;0.12;0.24,36,1,226,205,125
1,6,28,204,20,1,0.06;0.12;0.24,11,1,204,225,225
1,6,29,221,10,1,0.06;0.12;0.24,5,1,221,215,245
1,6,30,226,80,1,0.06;0.12;0.24,36,1,226,105,135
1,7,31,204,20,1,0.06;0.12;0.24,11,1,204,195,195
1,7,32,226,80,1,0.06;0.12;0.24,36,1,226,285,185
1,7,33,226,80,1,0.06;0.12;0.24,36,1,226,215,265
1,7,34,202,40,1,0.06;0.12;0.24,19,1,202,315,285
1,7,35,221,10,1,0.06;0.12;0.24,5,1,221,235,225
1,8,36,202,40,1,0.06;0.12;0.24,19,1,202,265,215
1,8,37,226,80,1,0.06;0.12;0.24,36,1,226,235,5
1,8,38,204,20,1,0.06;0.12;0.24,11,1,204,215,235
