model,model_label,prior_std,n_subjects,mean_learned_sd,median_learned_sd,sd_across_subjects,sem_learned_sd,mapping_error_deg,mapping_ratio,phase
hb_adaptive,HB-Adaptive,10,12,10.842423713693934,10.404231078989833,1.1245476937588363,0.3246289568541185,0.8424237136939343,1.0842423713693934,late
hb_adaptive,HB-Adaptive,20,12,17.122524943343905,17.13284958363031,0.4827725512291056,0.13936443120474326,-2.8774750566560954,0.8561262471671952,late
hb_adaptive,HB-Adaptive,40,12,23.024439586192177,22.56518398221444,1.7555476234085203,0.5067829464750585,-16.975560413807823,0.5756109896548044,late
hb_adaptive,HB-Adaptive,80,12,25.254804700590412,25.245871349152406,1.2865412397914315,0.371392465558569,-54.74519529940959,0.3156850587573802,late
hb_rachel,HB-Rachel,10,12,11.141381525791486,10.292284072758683,2.378359254726011,0.6865731779728501,1.1413815257914859,1.1141381525791485,late
hb_rachel,HB-Rachel,20,12,16.411912109623195,16.221610384680396,1.4151546836388087,0.408519968771913,-3.588087890376805,0.8205956054811597,late
hb_rachel,HB-Rachel,40,12,24.302209278569194,23.667660690456565,4.735579828864369,1.3670441444819026,-15.697790721430806,0.6075552319642299,late
hb_rachel,HB-Rachel,80,12,35.557048085479785,32.29670867063565,14.105060016679978,4.071780098783006,-44.442951914520215,0.4444631010684973,late
hb_salma,HB-Salma,10,12,28.346388385783758,27.14063199192168,17.034131473146616,4.917330195716338,18.346388385783758,2.8346388385783756,late
hb_salma,HB-Salma,20,12,38.71302435399122,39.30714067902278,13.720294744542445,3.960707932061294,18.713024353991223,1.935651217699561,late
hb_salma,HB-Salma,40,12,58.21251814766574,60.517472630092655,7.855980336866925,2.267826181119263,18.21251814766574,1.4553129536916436,late
hb_salma,HB-Salma,80,12,88.41111971312161,90.52549653115352,7.664402961002394,2.2125225563562485,8.411119713121607,1.1051389964140201,late
hierarchical_online,Hier-Online,10,12,9.353997141888781,9.292898914609628,0.7345030162238912,0.21203275706872785,-0.6460028581112187,0.9353997141888781,late
hierarchical_online,Hier-Online,20,12,18.224373888493872,18.157999429647838,0.8410433224306756,0.2427882943027439,-1.7756261115061278,0.9112186944246936,late
hierarchical_online,Hier-Online,40,12,35.21910133719953,35.10926296284188,1.5577564161102078,0.44968554308654757,-4.7808986628004675,0.8804775334299884,late
hierarchical_online,Hier-Online,80,12,71.83633475258836,71.08690296337815,4.019670435577133,1.1603789040170192,-8.163665247411643,0.8979541844073544,late
recombined,Recombined,10,12,10.198403073734168,9.72012566369629,1.6997903442073559,0.4906872063970218,0.198403073734168,1.0198403073734168,late
recombined,Recombined,20,12,17.312275440470877,17.619987890100745,1.5666142960611078,0.45224259277359835,-2.687724559529123,0.8656137720235438,late
recombined,Recombined,40,12,27.778637276879987,27.11211677353905,6.210013965240826,1.7926766172515631,-12.221362723120013,0.6944659319219997,late
recombined,Recombined,80,12,51.20904439554772,53.051019473889085,17.62450095074489,5.087755184122688,-28.79095560445228,0.6401130549443466,late
