model,model_label,subject_id,motion_coherence,prior_std,block_phase,n_trials,mean_believed_sd,median_believed_sd,p25_believed_sd,p75_believed_sd,mean_believed_alpha
hb_adaptive,HB-Adaptive,1,0.06,10,early,290,10.725585690047646,10.08508361435884,9.108322413954715,10.900441466232477,0.9315912078945275
hb_adaptive,HB-Adaptive,1,0.06,10,late,288,10.137773348268013,10.166392309264634,9.864171482329192,10.422601839010069,0.9545207089577007
hb_adaptive,HB-Adaptive,1,0.06,10,middle,278,10.177276114760897,10.205366767278374,9.873882326263969,10.533716421955488,0.9543947091404812
hb_adaptive,HB-Adaptive,1,0.06,20,early,297,17.579942974148913,17.907357321791213,15.456597919886436,19.477105429846823,0.8741970262887496
hb_adaptive,HB-Adaptive,1,0.06,20,late,262,17.944295801165147,18.04606034531315,16.347399042530306,19.530105433333002,0.9115914489575108
hb_adaptive,HB-Adaptive,1,0.06,20,middle,279,18.08509882970305,18.029580619017494,16.750344374932823,19.568309499904995,0.9131377663941128
hb_adaptive,HB-Adaptive,1,0.06,40,early,270,25.92270614796814,26.07353853797637,21.770356766567012,30.509397271627623,0.7888645393124482
hb_adaptive,HB-Adaptive,1,0.06,40,late,267,25.887504981524973,26.735659666255806,20.33166496719337,31.8525775518937,0.8015717922079371
hb_adaptive,HB-Adaptive,1,0.06,40,middle,265,27.105040429587863,28.284508346736914,21.929626913920202,32.82529201131551,0.8172635949392657
hb_adaptive,HB-Adaptive,1,0.06,80,early,588,26.533372113173858,27.664736531070695,21.356000475440258,31.826752384537425,0.5351762537987099
hb_adaptive,HB-Adaptive,1,0.06,80,late,565,27.684388692213144,29.039433155652553,22.620245458023444,33.04359541040216,0.5419613802676161
hb_adaptive,HB-Adaptive,1,0.06,80,middle,561,27.398580247984174,28.467200601362187,21.88926202748821,33.018257968968555,0.5295104858463073
hb_adaptive,HB-Adaptive,1,0.12,10,early,200,10.270710881394482,10.124233372941386,9.140618049531666,10.566118328344105,0.9317099595305335
hb_adaptive,HB-Adaptive,1,0.12,10,late,189,10.180843319643555,10.174904506120136,9.868823445132676,10.456622225202091,0.9563551414985252
hb_adaptive,HB-Adaptive,1,0.12,10,middle,198,10.08337800144157,10.13456447660154,9.748926236996432,10.441571446104662,0.9558298182606126
hb_adaptive,HB-Adaptive,1,0.12,20,early,189,17.527034808438966,17.588495380195017,15.528791129939206,19.427421125660548,0.8838302792711654
hb_adaptive,HB-Adaptive,1,0.12,20,late,207,17.733355942044327,17.94314368771295,16.332549401909162,19.1362288733708,0.9150634095745327
hb_adaptive,HB-Adaptive,1,0.12,20,middle,204,18.100374002444042,18.346784273423566,16.81627880390944,19.59157164187684,0.9078472228566106
hb_adaptive,HB-Adaptive,1,0.12,40,early,195,26.854900622149398,28.063970815073084,22.247424413915255,31.734718190121534,0.7844690373599293
hb_adaptive,HB-Adaptive,1,0.12,40,late,200,26.55499898266981,27.51475480848994,22.469415816073848,32.10915873663018,0.7974436730855669
hb_adaptive,HB-Adaptive,1,0.12,40,middle,202,27.587548440458633,28.38227365061711,23.005890623805662,33.17744629138151,0.8126060395865026
hb_adaptive,HB-Adaptive,1,0.12,80,early,391,26.240278755700455,26.94881726969509,20.774539261721706,31.83638837317832,0.5478420393510579
hb_adaptive,HB-Adaptive,1,0.12,80,late,424,27.89968078541489,29.42766549115489,23.927897009772362,33.173725861870665,0.5338868650985864
hb_adaptive,HB-Adaptive,1,0.12,80,middle,385,27.470271417705185,28.95031003631173,22.762012032924652,33.023719069557465,0.5240666976034104
hb_adaptive,HB-Adaptive,1,0.24,10,early,87,10.328600591976468,10.15434154955567,9.182672217636531,10.94225080520183,0.9289640893089729
