model,label,subject,n_trials,nll,aic,bic,cv_nll,cv_per_trial
basic_bayes,Basic-Bayes,1,8562,38418.83462385517,76855.66924771034,76919.16504949068,38664.26698613247,4.515798526761559
hb_adaptive,HB-Adaptive,1,8562,38451.08931551108,76914.17863102217,76956.50916554239,38846.77908824221,4.537115053520464
hb_rachel,HB-Rachel,1,8562,38456.4610778425,76926.922155685,76976.30777929194,38912.96734318354,4.544845520110201
hb_salma,HB-Salma,1,8562,38624.92858068419,77261.85716136837,77304.1876958886,38800.24903595481,4.531680569487831
hierarchical_online,Hier-Online,1,8562,39489.908187702946,78995.81637540589,79052.25708809953,,
recombined,Recombined,1,8562,39534.81932092321,79083.63864184642,79133.02426545336,,
switch,Switch,1,8562,38526.755966540106,77071.51193308021,77135.00773486056,38940.226637105494,4.548029273196157
basic_bayes,Basic-Bayes,2,7877,36834.32389290026,73686.64778580052,73749.39310739786,36947.7896791305,4.69059155505021
hb_adaptive,HB-Adaptive,2,7877,36181.541856802985,72375.08371360597,72416.91392800419,36216.22492842208,4.59771803077594
hb_rachel,HB-Rachel,2,7877,36083.800961122026,72181.60192224405,72230.40383904197,36136.34541881833,4.587577176440058
hb_salma,HB-Salma,2,7877,36915.28181342518,73842.56362685036,73884.39384124857,37020.5714776517,4.699831341583305
hierarchical_online,Hier-Online,2,7877,36785.839955010975,73587.67991002195,73643.45352921958,,
recombined,Recombined,2,7877,36809.95721787235,73633.9144357447,73682.71635254261,,
switch,Switch,2,7877,36254.197887986076,72526.39577597215,72589.14109756949,36288.05822584247,4.606837403306141
basic_bayes,Basic-Bayes,3,9412,41990.675386131654,83999.35077226331,84063.69843901193,42287.211139149054,4.492903860938063
hb_adaptive,HB-Adaptive,3,9412,41851.568520848756,83715.13704169751,83758.03548619659,42305.61319042343,4.494859030006739
hb_rachel,HB-Rachel,3,9412,41959.96351377024,83933.92702754049,83983.97521278942,42357.4819982889,4.500369953069369
hb_salma,HB-Salma,3,9412,42199.2916578312,84410.5833156624,84453.48176016148,42318.655387301544,4.496244728782569
