subject,alpha,best_nll,source_file
1,0.06918909129378806,38799.274530746094,subject_1.pkl
2,0.030395718732165577,36566.45761867864,subject_2__1_.pkl
3,0.0671096659052503,42388.22467978714,subject_3.pkl
4,0.07924200567289312,23210.10886123996,subject_4.pkl
5,0.2480739145087684,31276.563579959693,subject_5__1_.pkl
6,0.19164211637586143,37728.68233422066,subject_6__1_.pkl
7,0.15676202320551202,27280.508798474697,subject_7__1_.pkl
8,0.02724358045391032,31021.855250870824,subject_8.pkl
9,0.09212353577637487,42250.93777362967,subject_9.pkl
10,0.15494473135242043,30971.81443169109,subject_10__1_.pkl
11,0.07819789668592211,31491.425872698586,subject_11__1_.pkl
12,0.11446497188353232,32730.865432348528,subject_12.pkl
