subject,prominence_fraction_of_maximum,candidate_multimodal_trials,total_trials,candidate_multimodal_fraction
1,0.05,1900,8562,0.2219107685120299
1,0.1,1455,8562,0.16993693062368606
2,0.05,1526,7877,0.1937285768693665
2,0.1,1324,7877,0.16808429605179637
3,0.05,2303,9412,0.24468763280917977
3,0.1,1811,9412,0.19241393965150871
4,0.05,915,4799,0.19066472181704522
4,0.1,759,4799,0.15815794957282767
5,0.05,141,5789,0.024356538262221453
5,0.1,88,5789,0.015201243738124029
6,0.05,313,7553,0.04144048722361975
6,0.1,201,7553,0.026611942274592876
7,0.05,689,5797,0.11885457995514921
7,0.1,498,5797,0.08590650336380887
8,0.05,801,5797,0.13817491806106608
8,0.1,654,5797,0.1128169742970502
9,0.05,1245,8632,0.14423076923076922
9,0.1,909,8632,0.10530583873957368
10,0.05,417,6044,0.06899404367968233
10,0.1,276,6044,0.045665122435473195
11,0.05,1008,6474,0.1556997219647822
11,0.1,699,6474,0.10797034291010195
12,0.05,1098,6474,0.1696014828544949
12,0.1,884,6474,0.13654618473895583
