model,start,evaluation,elapsed_seconds,nll
integrated_prior,0,1,5.402393000025768,21617.949997024178
integrated_prior,0,2,10.548958699975628,21496.013054282535
integrated_prior,0,3,16.109559800010175,21443.89941004206
integrated_prior,0,4,21.037688300013542,21817.785825904724
integrated_prior,0,5,25.942367499985266,21381.776103334872
integrated_prior,0,6,31.5941817999701,21383.79243208618
integrated_prior,0,7,39.320951999980025,21396.131151332305
integrated_prior,0,8,45.075167200004216,21382.54454005097
integrated_prior,0,9,51.06805820000591,21382.910526870473
integrated_prior,0,10,57.74132739997003,21382.42754859579
integrated_prior,0,11,64.57692929997575,21380.40542405867
integrated_prior,0,12,73.35161780001363,21380.689912876427
integrated_prior,0,13,79.7967247000197,21380.397281748563
integrated_prior,0,14,85.02641990000848,21380.86598844891
integrated_prior,0,15,90.17459840001538,21381.028886482054
integrated_prior,0,16,95.22016089997487,21380.46104303049
integrated_prior,0,17,100.75133619998815,21380.705641957044
integrated_prior,0,18,105.7575931000174,21519.734178231338
integrated_prior,0,19,114.55352169997059,21524.147711502665
integrated_prior,0,20,121.07780219998676,23030.755986017328
integrated_prior,0,21,132.76825480000116,21119.844672467567
integrated_prior,0,22,142.40171569999075,21119.755516118392
integrated_prior,0,23,152.6690042000264,21212.181809964357
integrated_prior,0,24,161.33599380002124,21127.398078215527
integrated_prior,0,25,170.24832700000843,21119.47819227524
integrated_prior,0,26,177.7862632999895,21120.547912515576
integrated_prior,0,27,184.6001686999807,21119.545857447643
integrated_prior,0,28,191.33697970001958,21120.336815476367
integrated_prior,0,29,197.28103399998508,21119.738407033226
integrated_prior,0,30,202.92140499997186,21119.509805162146
integrated_prior,0,31,208.38804529997287,22221.844411711765
integrated_prior,0,32,216.45461509999586,21013.984719606866
integrated_prior,0,33,224.0270262999693,21034.923606417506
integrated_prior,0,34,230.86681719997432,20978.184307644347
integrated_prior,0,35,236.51147430000128,20979.120394452304
integrated_prior,0,36,241.83096699998714,20992.738337050003
integrated_prior,0,37,247.61421959998552,20979.54471368945
integrated_prior,0,38,254.34345190000022,20978.13024363944
integrated_prior,0,39,261.7712172999745,20979.022119321926
integrated_prior,0,40,272.7096151000005,20978.18192283136
integrated_prior,0,41,279.882400100003,20978.492413262575
integrated_prior,0,42,286.82761540001957,20978.50153250873
integrated_prior,0,43,292.6780492999824,20978.287200647515
integrated_prior,0,44,299.7077360000112,20978.205557248562
integrated_prior,0,45,306.19365630001994,22013.127426881343
integrated_prior,0,46,315.21228789997986,21161.009716120487
integrated_prior,0,47,326.78635920002125,20909.982769155627
integrated_prior,0,48,333.9611734999926,20818.917275312815
integrated_prior,0,49,342.5155238999869,20785.936897579493
integrated_prior,0,50,348.13699779997114,20773.879531139442
integrated_prior,0,51,353.2505586000043,20767.509545067485
integrated_prior,0,52,359.3710667999694,20762.557825901225
integrated_prior,0,53,368.37321879999945,20760.7551820006
integrated_prior,0,54,375.09098410001025,20760.166138317443
integrated_prior,0,55,381.6937971999869,20758.629693601266
integrated_prior,0,56,388.07117160002235,20758.97103618731
integrated_prior,0,57,396.8555450999993,20758.918047930078
integrated_prior,0,58,404.43058049998945,20758.391584084537
integrated_prior,0,59,411.1130110999802,20758.689420524464
integrated_prior,0,60,418.910447000002,20758.618511519806
integrated_prior,0,61,424.3063675999874,20758.352935366616
integrated_prior,0,62,430.7597261000192,20758.344886726347
integrated_prior,0,63,435.8126355999848,20758.36439024694
integrated_prior,0,64,440.7459041000111,22240.600841681604
integrated_prior,0,65,445.9571972999838,20791.576563666764
integrated_prior,0,66,451.3636837999802,20936.90545170838
integrated_prior,0,67,456.21401160000823,20751.233030025305
integrated_prior,0,68,460.9334126000176,20751.234364223987
integrated_prior,0,69,465.66102469997713,20751.231427905564
integrated_prior,0,70,470.36955760000274,20751.231486370845
integrated_prior,0,71,475.0988803000073,20751.231487421697
integrated_prior,0,72,479.8208328000037,20786.18763445136
integrated_prior,0,73,484.55166210001335,20750.7640745093
integrated_prior,0,74,489.2557958000107,20793.485676223467
integrated_prior,0,75,493.982846400002,20753.663080286104
integrated_prior,0,76,498.7048884999822,20751.716669649628
integrated_prior,0,77,503.4120800999808,20750.768016746235
integrated_prior,0,78,508.1165921000065,20750.762032230312
integrated_prior,0,79,512.8316545999842,20750.762030515223
integrated_prior,0,80,517.5676301000058,20750.762036003733
integrated_prior,0,81,522.2694889999693,20751.602089592187
integrated_prior,0,82,527.0001072000014,20763.733672032653
integrated_prior,0,83,531.7034530999954,20797.458170364105
integrated_prior,0,84,536.4043786000111,20789.089215037053
integrated_prior,0,85,541.100604199979,20754.37814192664
integrated_prior,0,86,545.790365999972,20750.677478549143
integrated_prior,0,87,550.5095535999862,20747.398709624977
integrated_prior,0,88,555.3223264000262,20749.16095345225
integrated_prior,0,89,560.043402499985,20749.18018169335
integrated_prior,0,90,564.7451743999845,20746.236263604493
integrated_prior,0,91,569.5163749000058,20747.747394119066
integrated_prior,0,92,574.2540142000071,20747.345447245156
integrated_prior,0,93,578.9950542000006,20747.16886810684
integrated_prior,0,94,583.6941904000123,20746.614523070148
integrated_prior,0,95,588.390693399997,20746.350659675416
integrated_prior,0,96,593.0820130999782,20746.336756996316
integrated_prior,0,97,597.7812413999927,20746.160628117173
integrated_prior,0,98,602.5085059999838,21124.51873646053
integrated_prior,0,99,607.2101455000229,21124.037156607425
integrated_prior,0,100,611.8994677999872,22018.784598994644
integrated_prior,0,101,617.1355306999758,20744.836166982845
integrated_prior,0,102,622.1380021999939,20744.776467274074
integrated_prior,0,103,626.9490282000042,20758.27072694552
integrated_prior,0,104,632.5275194999995,20742.43341094061
integrated_prior,0,105,637.528897000011,20743.336837169303
integrated_prior,0,106,642.2561709000147,20743.455341665423
integrated_prior,0,107,647.0858127999818,20742.929249158296
integrated_prior,0,108,651.8191350999987,20741.48594225343
integrated_prior,0,109,656.5444834000082,20742.764492877515
integrated_prior,0,110,661.2763708999846,20740.56805485313
integrated_prior,0,111,665.9995251999935,20741.86104407202
integrated_prior,0,112,670.7489848000114,20740.579858707337
integrated_prior,0,113,675.6913665999891,20740.60426793425
integrated_prior,0,114,680.4105928000063,21973.353551289692
integrated_prior,0,115,685.1143310000189,20777.845206819296
integrated_prior,0,116,689.8521673000068,20788.028597098182
integrated_prior,0,117,694.6636175999884,20740.874663792998
integrated_prior,0,118,699.3811920000007,20741.012711309013
integrated_prior,0,119,704.0843641000101,20741.58625843125
integrated_prior,0,120,708.7886456000269,20741.033542615733
integrated_prior,0,121,713.5645903000259,20740.736520232553
integrated_prior,0,122,718.2851539999829,20740.589719748124
integrated_prior,0,123,723.0234869000269,20740.578948041322
integrated_prior,0,124,727.9477780999732,20740.761114811834
integrated_prior,0,125,732.6604238,20740.529882974584
integrated_prior,0,126,737.4131684000022,20740.65670713031
integrated_prior,0,127,742.1324164000107,20740.51181463546
integrated_prior,0,128,746.8476342000067,20740.576016058836
integrated_prior,0,129,751.5741543999757,21962.22806205177
integrated_prior,0,130,756.2858516999986,21139.778888423687
integrated_prior,0,131,761.016618499998,20893.831968018996
integrated_prior,0,132,765.7404484999715,20798.91433066937
integrated_prior,0,133,771.9975511999801,20769.017715541682
integrated_prior,0,134,777.6268583000056,20754.866653624296
integrated_prior,0,135,782.4882954999921,20749.470656985774
integrated_prior,0,136,788.5454772000085,20745.409998431198
integrated_prior,0,137,794.5280266000191,20743.138942393074
integrated_prior,0,138,801.6986924000084,20741.72689429032
integrated_prior,0,139,807.5566532000084,20741.181283008165
integrated_prior,0,140,815.3210088000051,20740.396936251873
integrated_prior,0,141,820.8182841999806,20740.048220521163
integrated_prior,0,142,826.5240923999809,20739.87336533285
integrated_prior,0,143,831.6922680999851,20739.78322587708
integrated_prior,0,144,837.1093168000225,20739.63080007821
integrated_prior,0,145,841.9653665000224,20739.651568193025
integrated_prior,0,146,846.7524937000126,20739.62075251641
integrated_prior,0,147,851.5063919000095,20739.662536723372
integrated_prior,0,148,856.296429399983,22245.136306983102
integrated_prior,0,149,861.043130200007,20775.62498387476
integrated_prior,0,150,865.8084504000144,20943.397330021427
integrated_prior,0,151,870.6145828000153,20739.41135167772
integrated_prior,0,152,875.3518912,20739.412938154954
integrated_prior,0,153,880.0859136999934,20739.407163562428
integrated_prior,0,154,884.9135692000273,20739.407222706268
integrated_prior,0,155,890.0426650000154,20739.40722708647
integrated_prior,0,156,895.1177746999892,20766.012598420682
integrated_prior,0,157,900.4543241999927,20739.47261752539
integrated_prior,0,158,905.4624902000069,20790.152394756224
integrated_prior,0,159,910.8847354999743,20741.103911664308
integrated_prior,0,160,916.004780200019,20738.957850066145
integrated_prior,0,161,921.2592080999748,20738.893324501278
integrated_prior,0,162,926.4292866999749,20738.889258804717
integrated_prior,0,163,931.5024045999744,20738.8892277123
integrated_prior,0,164,936.2907999000163,20738.889228337463
integrated_prior,0,165,941.3618986000074,20738.889233263108
integrated_prior,1,166,947.4595099000144,24461.71692876295
integrated_prior,1,167,952.2929556000163,23383.968990797224
integrated_prior,1,168,957.4780526999966,23136.30198545471
integrated_prior,1,169,962.6232470999821,23756.164476397746
integrated_prior,1,170,967.810658500006,23055.53347370425
integrated_prior,1,171,973.0552611000021,23055.790554875326
integrated_prior,1,172,979.6521549000172,23054.17834925719
integrated_prior,1,173,984.96380149998,23084.354317446312
integrated_prior,1,174,989.9207863999764,23051.60110720065
integrated_prior,1,175,994.8040771000087,23053.895070282226
integrated_prior,1,176,1000.078362900007,23047.91431972625
integrated_prior,1,177,1005.5587315000012,23050.5528531648
integrated_prior,1,178,1011.8228325999808,23065.165143195474
integrated_prior,1,179,1018.6865131999948,23050.270107683456
integrated_prior,1,180,1024.3963990000193,23051.534488652087
integrated_prior,1,181,1031.3059651000076,23047.362479740907
integrated_prior,1,182,1038.4224715000018,23047.677209065063
integrated_prior,1,183,1043.974243499979,23049.717017388335
integrated_prior,1,184,1049.209513299982,23050.104486004388
integrated_prior,1,185,1054.810284600011,23047.905384893653
integrated_prior,1,186,1060.5335429999977,23047.581555394674
integrated_prior,1,187,1065.3615848000045,22977.32327729295
integrated_prior,1,188,1070.2095964999753,22494.82161658223
integrated_prior,1,189,1075.1952095999732,24152.713181719515
integrated_prior,1,190,1080.1355393999838,22002.265745877005
integrated_prior,1,191,1085.0383016999695,21986.5739535855
integrated_prior,1,192,1091.9225768999895,21980.433101591945
integrated_prior,1,193,1097.9030540999956,22155.77916023354
integrated_prior,1,194,1104.677645399992,21978.714661469054
integrated_prior,1,195,1110.5450631999993,21976.98927895126
integrated_prior,1,196,1116.4001823000144,21981.29016359225
integrated_prior,1,197,1122.5894619000028,21981.355529470795
integrated_prior,1,198,1129.3304293000256,21981.268436471015
integrated_prior,1,199,1137.4719452999998,21978.726261784657
integrated_prior,1,200,1142.6514787999913,21976.76206993051
integrated_prior,1,201,1147.876491300005,21976.79304633801
integrated_prior,1,202,1153.3500203000149,21977.269690751884
integrated_prior,1,203,1158.5611864000093,24139.09188610522
integrated_prior,1,204,1163.9547806999763,21948.491531020692
integrated_prior,1,205,1171.2443773999694,22078.0641426136
integrated_prior,1,206,1177.232763100008,21911.515445531455
integrated_prior,1,207,1183.6535495999851,21908.42440506819
integrated_prior,1,208,1190.6025171999936,21907.565946713374
integrated_prior,1,209,1198.1270746000228,21917.950851093163
integrated_prior,1,210,1205.4264286999824,21915.769439073047
integrated_prior,1,211,1212.8209325000062,21908.79588579789
integrated_prior,1,212,1220.574687800021,21908.152638362364
integrated_prior,1,213,1227.3241045000032,21907.648956374338
integrated_prior,1,214,1234.949980699981,21907.25468212991
integrated_prior,1,215,1242.2537314000074,21907.963072524144
integrated_prior,1,216,1250.2196696000174,21907.563320123532
integrated_prior,1,217,1257.7182066999958,21907.502497140966
integrated_prior,1,218,1264.8142000000225,23296.39970256926
integrated_prior,1,219,1270.8772936000023,21878.83624948941
